line,division,day_type,day_type_label,month,month_date,year,period,otp_pct,on_time,scheduled
S Rock,B DIVISION,1,Weekday,2016-10-01,2016-10-01T00:00:00Z,2016,2015-2019,0.923820352,1625,1759
1,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.680303977,6535,9606
2,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.353452083,2401,6793
3,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.544076274,3481,6398
4,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.330286875,2602,7878
5,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.353511948,2441,6905
6,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.437711578,5172,11816
7,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.782074752,10253,13110
S 42nd,A DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.987425289,12721,12883
A,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.542134469,4201,7749
B,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.520573278,2252,4326
C,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.606169297,2535,4182
D,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.637533998,3516,5515
E,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.65274463,5470,8380
F,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.462596948,3698,7994
G,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.754081633,4434,5880
JZ,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.629288274,3687,5859
L,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.913124534,9796,10728
M,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.628856942,3587,5704
N,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.564861571,3244,5743
Q,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.663333333,4179,6300
R,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.695805369,4147,5960
S Fkln,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.993139629,2461,2478
S Rock,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.917613636,1615,1760
W,B DIVISION,1,Weekday,2016-11-01,2016-11-01T00:00:00Z,2016,2015-2019,0.765017118,2458,3213
1,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.68134041,6547,9609
2,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.31858538,2153,6758
3,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.565645514,3619,6398
4,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.32513136,2537,7803
5,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.350999131,2424,6906
6,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.394062421,4659,11823
7,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.750666362,9857,13131
S 42nd,A DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.983688441,12604,12813
A,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.590140663,4573,7749
B,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.578132224,2501,4326
C,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.578809524,2431,4200
D,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.594483986,3341,5620
E,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.619797257,5197,8385
F,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.504018509,4139,8212
G,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.760544218,4472,5880
JZ,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.596859532,3497,5859
L,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.877039132,9301,10605
M,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.578956583,3307,5712
N,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.562370062,3246,5772
Q,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.728721758,4709,6462
R,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.574232511,3423,5961
S Fkln,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.99677159,2470,2478
S Rock,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.925610449,1630,1761
W,B DIVISION,1,Weekday,2016-12-01,2016-12-01T00:00:00Z,2016,2015-2019,0.643738977,2555,3969
1,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.727774308,6991,9606
2,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.33758631,2249,6662
3,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.539387309,3451,6398
4,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.31525641,2459,7800
5,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.349022448,2410,6905
6,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.472410291,5582,11816
7,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.767484382,10074,13126
S 42nd,A DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.994933837,13158,13225
A,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.624080527,4836,7749
B,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.55963939,2421,4326
C,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.618095238,2596,4200
D,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.599456029,3306,5515
E,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.623150358,5222,8380
F,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.498592584,4074,8171
G,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.777380952,4571,5880
JZ,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.634408602,3717,5859
L,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.921452145,9772,10605
M,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.588235294,3360,5712
N,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.524519147,3027,5771
Q,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.638544892,4125,6460
R,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.634563758,3782,5960
S Fkln,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.998789346,2475,2478
S Rock,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.953409091,1678,1760
W,B DIVISION,1,Weekday,2017-01-01,2017-01-01T00:00:00Z,2017,2015-2019,0.640463593,2542,3969
1,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.600161458,5204,8671
2,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.273300166,1648,6030
3,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.502710517,2782,5534
4,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.333899986,2357,7059
5,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.322183099,2013,6248
6,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.47031323,5030,10695
7,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.691388164,8213,11879
S 42nd,A DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.990649482,11760,11871
A,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.55198973,3870,7011
B,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.571241488,2181,3818
C,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.58,2204,3800
D,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.563526524,2985,5297
E,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.654449572,4964,7585
F,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.486997958,3577,7345
G,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.763533835,4062,5320
JZ,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.650631956,3449,5301
L,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.916562889,8832,9636
M,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.606037152,3132,5168
N,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.545193412,2847,5222
Q,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.678583647,3967,5846
R,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.686800895,3684,5364
S Fkln,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.997769848,2237,2242
S Rock,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.91964846200000006,1465,1593
W,B DIVISION,1,Weekday,2017-02-01,2017-02-01T00:00:00Z,2017,2015-2019,0.684767474,2459,3591
1,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.698276721,7010,10039
2,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.304816679,2120,6955
3,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.487856218,3013,6176
4,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.3312055,2698,8146
5,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.312587413,2235,7150
6,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.487652822,6023,12351
7,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.745482367,10231,13724
S 42nd,A DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.997882748,13668,13697
A,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.5388331,4239,7867
B,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.578083407,2606,4508
C,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.589772727,2595,4400
D,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.563826087,3242,5750
E,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.602285714,5270,8750
F,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.472694611,3947,8350
G,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.733539765,4501,6136
JZ,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.612955995,3747,6113
L,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.926302529,10294,11113
M,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.632115548,3720,5885
N,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.536200598,3229,6022
Q,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.664294187,4480,6744
R,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.671067645,4117,6135
S Fkln,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.999592502,2453,2454
S Rock,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.942716858,1728,1833
W,B DIVISION,1,Weekday,2017-03-01,2017-03-01T00:00:00Z,2017,2015-2019,0.65993266,2744,4158
1,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.705618714,6455,9148
2,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.325200741,2106,6476
3,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.537852719,3126,5812
4,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.298599892,2218,7428
5,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.309154501,2033,6576
6,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.534482759,6014,11252
7,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.72552,9069,12500
S 42nd,A DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.982646244,12061,12274
A,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.573170732,4230,7380
B,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.59684466,2459,4120
C,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.6035,2414,4000
D,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.513899467,2699,5252
E,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.600125313,4789,7980
F,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.454545455,3460,7612
G,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.751785714,4210,5600
JZ,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.594265233,3316,5580
L,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.941065535,9980,10605
M,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.619117647,3368,5440
N,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.510917031,2808,5496
Q,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.687743823,4231,6152
R,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.709126145,4025,5676
S Fkln,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,1,2360,2360
S Rock,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.976133652,1636,1676
W,B DIVISION,1,Weekday,2017-04-01,2017-04-01T00:00:00Z,2017,2015-2019,0.65,2457,3780
1,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.706279809,7108,10064
2,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.300429799,2097,6980
3,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.503534112,3277,6508
4,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.279817066,2325,8309
5,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.261958675,1851,7066
6,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.513085622,6352,12380
7,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.762870855,10491,13752
S 42nd,A DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.992662318,13393,13492
A,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.508992363,4132,8118
B,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.528684907,2396,4532
C,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.583636364,2568,4400
D,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.526041667,3131,5952
E,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.530182232,4655,8780
F,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.385386819,3228,8376
G,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.699350649,4308,6160
JZ,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.604105572,3708,6138
L,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.934886605,10553,11288
M,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.645721925,3864,5984
N,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.509203453,3126,6139
Q,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.635933806,4304,6768
R,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.737617352,4557,6178
S Fkln,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.987673344,2564,2596
S Rock,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.953362256,1758,1844
W,B DIVISION,1,Weekday,2017-05-01,2017-05-01T00:00:00Z,2017,2015-2019,0.664742665,2764,4158
1,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.649281431,6822,10507
2,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.276034952,1927,6981
3,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.450826,2920,6477
4,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.301496532,2478,8219
5,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.315169163,2273,7212
6,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.545880452,6758,12380
7,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.74002751,10222,13813
S 42nd,A DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.984584599,13285,13493
A,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.508253264,4126,8118
B,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.483230362,2190,4532
C,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.538636364,2370,4400
D,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.515125908,3048,5917
E,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.593394077,5210,8780
F,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.476957975,3995,8376
G,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.716950788,4458,6218
JZ,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.62821766,3856,6138
L,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.956006019,10800,11297
M,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.657118427,4611,7017
N,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.463281508,2801,6046
Q,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.614952719,4162,6768
R,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.677290199,4229,6244
S Fkln,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.998844376,2593,2596
S Rock,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.948481562,1749,1844
W,B DIVISION,1,Weekday,2017-06-01,2017-06-01T00:00:00Z,2017,2015-2019,0.672438672,2796,4158
1,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.663464652,6147,9265
2,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.277068558,1758,6345
3,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.501556102,3062,6105
4,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.344077357,2562,7446
5,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.337151469,2237,6635
6,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.585329209,6623,11315
7,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.71207577,9022,12670
S 42nd,A DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.994512386,12686,12756
A,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.593911389,4370,7358
B,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.505392157,2062,4080
C,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.619832615,2444,3943
D,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.594560967,3345,5626
E,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.630470219,5028,7975
F,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.539915966,4112,7616
G,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.737380513,4397,5963
JZ,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.740860215,4134,5580
L,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.961673439,10413,10828
M,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.756008359,7235,9570
N,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.559553796,3110,5558
Q,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.608422072,3771,6198
R,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.707312775,4014,5675
S Fkln,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.999152542,2358,2360
S Rock,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.950447761,1592,1675
W,B DIVISION,1,Weekday,2017-07-01,2017-07-01T00:00:00Z,2017,2015-2019,0.707936508,2676,3780
1,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.738180113,7869,10660
2,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.279101616,2038,7302
3,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.504158302,3516,6974
4,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.372308052,3181,8544
5,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.340953883,2595,7611
6,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.625991834,8126,12981
7,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.692591077,10152,14658
S 42nd,A DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.990923273,13974,14102
A,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.590314599,5010,8487
B,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.550654285,2609,4738
C,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.652173913,3000,4600
D,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.559506173,3399,6075
E,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.557734205,5120,9180
F,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.417561087,3657,8758
G,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.778406617,5364,6891
JZ,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.708119059,4544,6417
L,B DIVISION,1,Weekday,2017-08-01,2017-08-01T00:00:00Z,2017,2015-2019,0.925750141,11508,12431
