line,division,day_type,day_type_label,month,month_date,year,period,otp_pct,on_time,scheduled
Q,B DIVISION,1,Weekday,2016-07-01,2016-07-01T00:00:00Z,2016,2015-2019,0.684790875,3602,5260
R,B DIVISION,1,Weekday,2016-07-01,2016-07-01T00:00:00Z,2016,2015-2019,0.573170732,3243,5658
S Fkln,B DIVISION,1,Weekday,2016-07-01,2016-07-01T00:00:00Z,2016,2015-2019,0.990077653,2295,2318
S Rock,B DIVISION,1,Weekday,2016-07-01,2016-07-01T00:00:00Z,2016,2015-2019,0.947935368,1584,1671
1,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.75273315,7918,10519
2,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.352510176,2598,7370
3,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.551768766,3837,6954
4,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.415525114,3549,8541
5,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.384554351,2908,7562
6,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.561916424,7342,13066
7,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.812548141,11604,14281
S 42nd,A DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.988696307,14432,14597
A,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.658183104,5586,8487
B,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.720768257,3415,4738
C,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.731086957,3363,4600
D,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.684947299,4159,6072
E,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.700926431,6431,9175
F,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.616158153,5392,8751
G,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.82618092,5352,6478
JZ,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.630668537,4047,6417
L,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.91950898,11161,12138
M,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.675201288,4193,6210
N,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.638415327,3932,6159
Q,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.717973697,4422,6159
R,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.556683587,3619,6501
S Fkln,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.993736183,2697,2714
S Rock,B DIVISION,1,Weekday,2016-08-01,2016-08-01T00:00:00Z,2016,2015-2019,0.9159315,1765,1927
1,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.634613383,6098,9609
2,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.345653087,2469,7143
3,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.483113813,2861,5922
4,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.365097589,2862,7839
5,A DIVISION,1,Weekday,2016-09-01,2016-09-01T00:00:00Z,2016,2015-2019,0.357804807,2471,6906
